,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0,7,2017,7999,0,17307,0,145.0,58.9,1.2
1,12,2016,14499,2,25233,2,235.0,43.5,2.0
2,12,2016,11399,0,37877,2,30.0,61.7,1.7
3,5,2016,6499,0,23789,0,20.0,60.1,1.0
4,6,2015,10199,0,33177,2,160.0,51.4,2.0
5,5,2015,6149,0,41650,0,20.0,60.1,1.0
6,7,2015,6799,0,39547,0,30.0,55.4,1.2
7,12,2016,14199,2,30300,2,125.0,57.6,1.7
8,10,2018,10399,2,38082,0,145.0,51.4,1.4
9,12,2016,12163,0,21014,2,30.0,61.7,1.7
10,12,2017,13200,0,22888,2,150.0,61.7,1.7
11,10,2017,10000,0,20000,0,150.0,56.5,1.0
12,7,2015,6900,0,26413,0,30.0,55.4,1.2
13,12,2019,17750,0,10000,0,150.0,34.9,1.6
14,12,2017,14600,3,18626,2,125.0,57.6,1.7
15,9,2015,8700,0,31979,2,30.0,65.7,1.7
16,12,2017,13000,0,26685,2,30.0,61.7,1.7
17,5,2018,7100,0,35000,0,145.0,60.1,1.0
18,5,2016,7500,0,6000,0,20.0,57.6,1.2
19,12,2017,12000,0,17059,2,30.0,61.7,1.7
20,12,2017,11695,0,49174,0,145.0,44.8,1.6
21,7,2015,7995,0,6413,0,30.0,55.4,1.2
22,12,2015,10700,0,34177,2,30.0,61.7,1.7
23,5,2016,8100,0,7447,0,30.0,57.6,1.2
24,6,2013,8200,0,34500,2,145.0,53.3,1.7
25,5,2016,6600,0,16751,0,30.0,57.6,1.2
26,12,2018,13900,0,16265,0,150.0,44.8,1.6
27,12,2018,13700,0,19087,0,145.0,44.8,1.6
28,10,2017,8300,0,38206,2,145.0,78.4,1.6
29,12,2016,15800,2,20025,2,125.0,57.6,1.7
30,14,2018,15000,2,32227,3,135.0,78.5,1.6
35,11,2018,12995,0,7359,0,145.0,52.3,1.0
36,12,2019,18000,0,4353,0,145.0,35.3,1.6
38,4,2014,8300,0,36324,0,160.0,43.5,1.6
44,12,2017,14100,0,5067,0,145.0,44.8,1.6
56,12,2017,16800,0,21875,0,145.0,38.7,1.6
57,5,2016,6500,0,27465,0,20.0,60.1,1.0
58,5,2019,8600,0,4920,0,145.0,60.1,1.0
59,10,2016,9400,0,18577,0,145.0,48.7,1.4
60,8,2013,6000,0,42320,0,145.0,45.6,1.4
66,12,2016,12300,0,21898,2,30.0,61.7,1.7
